"experiment_date","well_position","label_E","label_P","cycle","rep","T80.1","T80.2","T80.3","T80.4","T80.5","T80.6","T80.7","T80.8","T80.9","T81","T81.1","T81.2","T81.3","T81.4","T81.5","T81.6","T81.7","T81.8","T81.9","T82","T82.1","T82.2","T82.3","T82.4","T82.5","T82.6","T82.7","T82.8","T82.9","T83","T83.1","T83.2","T83.3","T83.4","T83.5","T83.6","T83.7","T83.8","T83.9","T84","T84.1","T84.2","T84.3","T84.4","T84.5","T84.6","T84.7","T84.8","T84.9","T85","T85.1","T85.2","T85.3","T85.4","T85.5","T85.6","T85.7","T85.8","T85.9","T86","T86.1","T86.2","T86.3","T86.4","T86.5","T86.6","T86.7","T86.8","T86.9","T87","T87.1","T87.2","T87.3","T87.4","T87.5","T87.6","T87.7","T87.8","T87.9","T88","T88.1","T88.2","T88.3","T88.4","T88.5","T88.6","T88.7","T88.8","T88.9","T89","T89.1","T89.2","T89.3","T89.4","T89.5","T89.6","T89.7","T89.8","T89.9"
2026-05-29,"A1",1,0,30,1,0.28129912399342,0.287149530078355,0.291964744545661,0.29669347937338,0.303504861892395,0.3133346622484,0.326939329967488,0.340356240029465,0.352966336881814,0.364,0.377776701170315,0.396440354358139,0.420477818308493,0.446953686070706,0.476156306278465,0.510306567112663,0.554333250428111,0.608794792720243,0.672277520341673,0.743112261382772,0.817909754579216,0.900640834250522,0.99317798490439,1.09621419558399,1.2065058708211,1.32023795933808,1.43216651009563,1.53435225360956,1.62569882546376,1.7038685296845,1.76747389010701,1.81659260084926,1.85340336917924,1.87533256853659,1.87936902829044,1.86546486699558,1.83014683039405,1.77476435212953,1.70044395386922,1.60954608655895,1.50060178402004,1.37677418154962,1.24371436475418,1.10546413446863,0.965286587945946,0.829471001535281,0.700772344615658,0.585060947538648,0.480771387218729,0.389720906733887,0.313651114012567,0.248908552397734,0.196783522467991,0.15394130988396,0.12041410707386,0.0939285769541583,0.0735054885745818,0.0588674755076918,0.0479271878808113,0.0401532798067892,0.0317830452617103,0.0255377554957116,0.0188449008132358,0.015388409623483,0.0149849950138415,0.015057175496997,0.0164491340396523,0.0166849129973101,0.0144545885194023,0.0120630963158402,0.0085324221525893,0.00612714196237153,0.00431307676202053,0.00312130787756121,0.00304208070156269,0.00428205246481888,0.00558153477967335,0.00602429848309165,0.00603549855314522,0.00490531663519436,0.00530421355309564,0.00658945635814179,0.0077760522951509,0.00900712645841276,0.00886560670491834,0.00718191948718247,0.00470482223585704,0.00217039481081991,0.00210369677689586,0.00488017729327971,0.00849325473946803,0.0129701871549764,0.0169078678583405,0.0181211112764954,0.0170510421993552,0.01321767061661,0.00870929649451018,0.00491140698200484,0.00264458170530375
2026-05-29,"A2",1,0,30,1,0.279602116783932,0.29146005162472,0.302567617867825,0.311537169489651,0.316753447712902,0.320389153113093,0.324124004307373,0.33116426439953,0.343270754311238,0.361,0.382144442045095,0.407379457344385,0.436025245813202,0.467464535802544,0.500378097232903,0.534278702903845,0.567675262328799,0.604993335940657,0.649918929343256,0.708955092041488,0.781495570378016,0.869088151515698,0.96583273361213,1.06806919561027,1.17083916215533,1.27562554441786,1.37795314287282,1.47638527330106,1.56899364252289,1.65271934280559,1.72745241690276,1.78804612903208,1.83036261442223,1.85060076807079,1.84767806942068,1.82428116970606,1.7817533629005,1.72261089958527,1.64617570697157,1.55350004628433,1.44353481460101,1.31891230848137,1.1835736368486,1.04574616306581,0.907244477824032,0.775448644008949,0.653850317730582,0.545112970504137,0.447872511682259,0.363585758654469,0.292061772274427,0.232120202927893,0.18286336013866,0.144550919353425,0.115346975321738,0.0928113169323716,0.0747860296862588,0.0606030507209974,0.0484535552358805,0.0383531343397385,0.0308286006988985,0.0259852011872452,0.0214536647819798,0.0185742849535918,0.0162362631721222,0.0126047325269262,0.0092798339414749,0.00685301674405412,0.00513700468819381,0.00498550449587649,0.00619785836922236,0.00750395672344695,0.00794957854778645,0.00889009613266614,0.00903295955094857,0.0101083522761353,0.00997670428437579,0.00998284491777623,0.0100317759464012,0.00883813997762204,0.00764559865157281,0.0064210304557058,0.00522435713784148,0.00399347292326918,0.00406854871398447,0.00357202028434081,0.0028986221171803,0.00306847980314846,0.00195988579985996,0.00195722992586924,0.00254394645865755,0.00297839079264218,0.00394431042488794,0.00520239430258848,0.00600250814769593,0.00661592054038932,0.00702376379560366,0.00698325387644399,0.00568868144517146
2026-05-29,"A3",1,0,30,1,0.300601631825463,0.314117676168309,0.329328650460799,0.344640687987576,0.357390926186326,0.365945569877127,0.37390032193803,0.380300008310549,0.388300026293179,0.4,0.417640362104827,0.440854633592091,0.46843512952242,0.498493589741632,0.532486133681416,0.569698290829142,0.611704102503169,0.659387137835598,0.71650343357139,0.784285361289211,0.865583313062328,0.959663389680195,1.06232238155359,1.16715481613095,1.2735904242725,1.38213905766045,1.49168775221686,1.59773987550215,1.69754034137763,1.78581463737938,1.86352916559123,1.92773547775401,1.97912519956992,2.01296385922588,2.02410817605641,2.01157823267903,1.97618820210139,1.91968818008025,1.84430545529933,1.75090315479873,1.63611003085778,1.50529212694155,1.3625628591165,1.21427906490016,1.06403919089104,0.920657240527402,0.785721132196101,0.665047363441778,0.554595978492619,0.456940222546608,0.372521669863211,0.300331262838848,0.240082239484063,0.191273523069815,0.152453483456635,0.121094040175312,0.0984247177507473,0.0838267844339951,0.0734876997764581,0.0668733826685479,0.0608151672782803,0.0547294904826822,0.048723704810692,0.0424402896224141,0.0382221215501593,0.0357630059122319,0.033357012507417,0.0308156961428216,0.0292056611039826,0.0280167114282706,0.0281548048578972,0.0293666407217361,0.0311796296419725,0.0337605031674951,0.0350709009198233,0.0359142131186936,0.0341502579347834,0.0307590131987102,0.0290332029615397,0.0291740328309293,0.031953324972013,0.0363630912497672,0.0397663976969248,0.0399858596629755,0.0374447527259937,0.0328749943480829,0.0273412489391347,0.0223596062859552,0.0209842690318114,0.0211870960919323,0.0229140854793434,0.0261839917430872,0.0298741884715406,0.0322407111396716,0.0331115667829772,0.0325478188719386,0.0303179037402933,0.0289657641892931,0.027849276203535
2026-05-29,"A4",0,1,30,1,0.959854247278063,1.07968574926267,1.20207782200176,1.32126328706515,1.43453540719979,1.53550868546465,1.62440299681119,1.69581699315024,1.74830762195714,1.784,1.80484989832665,1.81392273827208,1.81047398739758,1.7937269039543,1.76109404914523,1.70939402077127,1.63991917813218,1.55192606269254,1.44555498241893,1.32677897844708,1.19794035550182,1.06218279029812,0.925306217209772,0.793160011586398,0.670203819227049,0.557301815783911,0.45542268024516,0.366395108007927,0.289575802866381,0.224583874268555,0.172090645293903,0.131919732334784,0.100536227939813,0.0778219908913741,0.0606177043167197,0.0481981292624974,0.0380729430710644,0.0316896570200204,0.0261852913363469,0.0240889768784025,0.0216004605050689,0.019107268627345,0.0177877420170795,0.0152079256076016,0.013351943248431,0.0122461699547651,0.0109980380480455,0.0106733243985602,0.00852068945538292,0.0066747253202484,0.00511864803858444,0.00396307662800446,0.00397247850680972,0.00444033957353307,0.00575595119118402,0.00694197951167675,0.00801670401349906,0.00843294724357658,0.00844307646840736,0.00803922892987952,0.00698272827976911,0.00681040143000755,0.00588987795477787,0.00601750300557249,0.00600228155267045,0.00602395517110782,0.00569752853830987,0.00490818626670161,0.00500656371858167,0.00500366336978143,0.00515883620079981,0.00611395892045653,0.00594844217831512,0.00608175173323363,0.00497386219348945,0.00483953131597116,0.00339250756621353,0.00295571146453037,0.00300123562520147,0.00298669104742716,0.00318885600123001,0.00521311581308993,0.00672547292984851,0.00901356164620433,0.00899616657154905,0.00862834435903862,0.00745253954417005,0.00516775493454047,0.005022540348793,0.00498526033604089,0.00501040574937816,0.00497453981583485,0.00502711280486324,0.00389640215858591,0.00431081398089393,0.00573347093338468,0.00594964628560211,0.00702718894892273,0.00682149332435381
2026-05-29,"A5",0,1,30,1,1.0118109404832,1.1306257945295,1.25285681109286,1.37428425195076,1.4912465210444,1.59949190401161,1.6986245478737,1.78404871220112,1.85316443367738,1.907,1.94481367546707,1.96897951922077,1.97804512306739,1.97264538984359,1.9486944098341,1.90517276540886,1.84074500491276,1.75474739027408,1.6486229992967,1.52615950173898,1.3919585226268,1.24755443909096,1.10006169784336,0.954705917231138,0.814408572560642,0.681912732368716,0.560258409604782,0.454714809462695,0.363272933954486,0.285713415979853,0.223795521549041,0.173667140529703,0.134689128826016,0.103476709558837,0.079949621007254,0.0618600809394786,0.0484071884453543,0.0385831544954206,0.0314577307764409,0.0264864232298261,0.0221913747012792,0.0181624258074995,0.015614116571346,0.0121207587366634,0.0104044020799863,0.00913753686144842,0.00899961083295023,0.00917614145373465,0.0101317368439365,0.00987475192730682,0.0109005269031596,0.0109877655398476,0.011010940999873,0.0109765270164867,0.0110797289057758,0.0100562193378322,0.00884139186504118,0.00754033608725303,0.00696284156997657,0.00692611526272404,0.00802245832773308,0.00796112423605431,0.008084616363912,0.00736406256666651,0.00610428221693982,0.00494817416961516,0.00504198648515364,0.00488959957175261,0.00580349603091541,0.00600429361588573,0.00600610177843419,0.00599794674646298,0.00600040540694913,0.00599995514583143,0.00599999627385647,0.00600000869484043,0.00599996210277135,0.0060001444566546,0.00599979014657271,0.00599786730572929,0.00602121394244019,0.00589323126202847,0.00682789920112985,0.00699796814180663,0.00700707782949693,0.00699605875597589,0.00700862021312693,0.00698218719830914,0.00693357610995777,0.00596314215150384,0.00548932852193555,0.00496908341768861,0.00497195178814923,0.00604460860978466,0.00634307382415379,0.00708302379683931,0.00700849662019524,0.00702114507591668,0.00819348211933348
2026-05-29,"A6",0,1,30,1,0.963606018197281,1.07892050996182,1.1998276152151,1.32050663772757,1.43812010830406,1.54880013792789,1.6499016296151,1.73781244447044,1.80892480652813,1.866,1.90848417673472,1.93692298243498,1.95262461844424,1.9503607967934,1.92989008486071,1.88709229747843,1.82365481330109,1.74009697610117,1.63839173082591,1.52204266686197,1.39352285695233,1.25404375790455,1.1099129772389,0.964728049245904,0.82535992130595,0.691277534590807,0.56939689359511,0.461927913935472,0.369197683563392,0.290145200791814,0.225592802335257,0.173882997687553,0.133706969681565,0.102666261641364,0.0799687255051144,0.0624655407283786,0.0494982217376388,0.0385130359206126,0.0302697592659183,0.0233598954532062,0.0187216766150144,0.0161194089518782,0.0149797362699769,0.0147520591149821,0.0133830209497221,0.012275141554736,0.00997243213536273,0.00772674176361555,0.00650362926572156,0.00595875786331836,0.00595730189792281,0.00710967286648208,0.00806240760732666,0.00806013025261148,0.00731575983029148,0.0060452368315416,0.00479971112223591,0.00392013941006069,0.00398855495350286,0.00408170138253469,0.00298014833974058,0.00296444783805218,0.00349618538650563,0.00387965724083098,0.00581373358297511,0.00712035702658374,0.00807174399303211,0.00808876224183088,0.00718192376288141,0.0070065515957896,0.0057492993468502,0.00491680596647967,0.00504615703183085,0.0049170828353442,0.0060223366123584,0.00623713773231321,0.0070074603959887,0.00773052753889329,0.00800602680532736,0.0079145174496888,0.00661267871253127,0.00543463554904589,0.00420293566716123,0.00298662326241558,0.00188271576367608,0.00240298546885381,0.00356303777779903,0.00578452622493828,0.00707002302280617,0.0083460031480498,0.00918463781832555,0.00818687324257743,0.00801806255513181,0.0068809516313133,0.00740209294418197,0.00807627887924366,0.00799342215022592,0.0080027751026261,0.00788516237645675
2026-05-29,"A7",1,1,30,1,0.688949049931107,0.749812346769018,0.812950404346458,0.869840469178103,0.915727553947993,0.945496082099293,0.959230762517854,0.957658030689136,0.94287431187847,0.918,0.885923513272287,0.851682996273621,0.817670936554798,0.785347194443531,0.757237182657006,0.736836819723135,0.72741799609904,0.7298883986283,0.744169568562035,0.770196596530786,0.806926608315375,0.856860612217525,0.920072503514848,0.99956536761939,1.0917164180051,1.19961216143197,1.31890382698446,1.44355475020592,1.57133667668643,1.69106860368268,1.79619639054819,1.87936495632433,1.93807952315586,1.97008873295253,1.97308883263474,1.94852649758461,1.89571564646904,1.81858998510185,1.71958332699537,1.60101512014477,1.46757646939277,1.322950233428,1.17296618355122,1.02202849387734,0.872484471711923,0.731771242228942,0.603801926662659,0.491761064479347,0.393711599963537,0.310651216133582,0.243454829707719,0.189586610676459,0.147973861395402,0.11785758452887,0.0951227518883215,0.0776293633201664,0.0630255662708369,0.0503803093666393,0.0396077064901778,0.0293487163560661,0.0218441108050108,0.0183773031907171,0.0168721746812673,0.0169201846366746,0.0179292478623457,0.0180017390739559,0.0177643175413087,0.0164164243358853,0.0152786647654809,0.0130679547028522,0.00957935218555958,0.00672056066315146,0.00425889128778723,0.00306611475383516,0.00410187377645463,0.00676022265636414,0.0105819637634024,0.013537999555233,0.0149523501917152,0.0148356928477889,0.0118939439195889,0.00879391387310429,0.00637048885017615,0.00499469524801262,0.00511863327908915,0.00688957192196897,0.00870717405678689,0.00991917595779883,0.00998518221346904,0.01006877038444,0.00949083209129128,0.00886960043100087,0.00994663761228395,0.0111625214458917,0.0124400023526757,0.0131480050052135,0.0122060637291977,0.0109674351367955,0.00962676489794919
2026-05-29,"A8",1,0.5,30,1,0.567422957168542,0.616988919029112,0.663729143397534,0.702857690293323,0.732554974212306,0.751491990429028,0.759467527107434,0.75750204945995,0.74438388177322,0.722,0.693595733845439,0.663138777651485,0.636339063308416,0.617593413976552,0.60653692668811,0.60581770853139,0.615246104271661,0.635884493198992,0.667534041132778,0.708115631189207,0.755257892569455,0.81001412635862,0.873465339266388,0.95052772736822,1.04286574892107,1.15259317247806,1.27312680162359,1.3959203987901,1.51769399002089,1.63005316718453,1.72825360914665,1.80687105838689,1.8640949688795,1.89642052913499,1.90411266258004,1.88985856975569,1.85407709874856,1.79868777930925,1.72197523866865,1.62745736496139,1.51129151483371,1.38032190826083,1.23648671468607,1.08831722797772,0.937991906290113,0.79528133533609,0.663761969215776,0.548322239055039,0.447294229130396,0.36211144312805,0.291043907194909,0.232185822739461,0.182597290650681,0.143085022532872,0.111951601357773,0.0868799742883086,0.0675483224788531,0.0531123822990581,0.0436880459851114,0.0360211918818741,0.0298329542262057,0.0252346298495197,0.0211629350415233,0.0169224630179964,0.0132181761879902,0.0119178725252814,0.0105373751644564,0.0104547868695858,0.0111642756663684,0.0100070313378194,0.0097220723731314,0.00753288232683494,0.00575287375892913,0.00407541015844063,0.00403268584353084,0.00542820652863472,0.00857842724107306,0.0108891810706453,0.0110252122650339,0.00972423223103156,0.00755264635220674,0.00635882359527772,0.00598641695063095,0.00600753623027476,0.00708568201820917,0.00704529136414036,0.00639876781380377,0.00512993042719165,0.00396811017361379,0.0039513428497057,0.00455082841787622,0.00495811957727789,0.00596612920550963,0.00600295594305397,0.00572618823935498,0.00425883021862734,0.00405129428052392,0.00297285037667618,0.00317843405188458
2026-05-29,"A9",1,0.25,30,1,0.471512359895326,0.503052268076085,0.534035407410912,0.561223893090965,0.58290827934572,0.598512751587216,0.609588781193101,0.61472073700467,0.612993214880433,0.606,0.595980237547259,0.585933755456252,0.580687894735933,0.580537321069303,0.58884692057738,0.604521684254545,0.625474592119206,0.650792643912392,0.680706973519195,0.716594701668162,0.761986580516763,0.818456839643811,0.88751667604019,0.969600685098759,1.06144753012748,1.16565909617719,1.27719111095477,1.39258999374368,1.50719159092432,1.61667134475034,1.71722151276524,1.80690479315239,1.88068021121209,1.93755149979378,1.97079692649842,1.98217215718036,1.9695436072003,1.93155152417262,1.8711497060429,1.78777899953115,1.68283634233446,1.56081305120189,1.42532715067708,1.28303390985012,1.13491701262451,0.988485239738247,0.846634274730311,0.716062891549046,0.595190523842932,0.486218664234695,0.392401306931311,0.311814039761914,0.245736905854435,0.193020075236083,0.152610942798014,0.12109400066623,0.096933910425704,0.0769135717902863,0.0605422906197015,0.0476673928311867,0.0377245217880321,0.0295569711064997,0.0240305864654763,0.0199254054457201,0.0162555494860752,0.0137713168870062,0.011348681481611,0.00884254319185713,0.00711906860928991,0.0069974873340366,0.00699545747132095,0.00700928522882899,0.00696276147232533,0.00709678157630263,0.00601024724113316,0.00708337278547017,0.00737259105338342,0.00878815188038816,0.00904432231507684,0.00786925024071216,0.00632340057169924,0.00424647055943761,0.00400065861491929,0.0040075852951058,0.00509668195635595,0.00496474838030564,0.00503382088215408,0.00493810464321339,0.00604330857624306,0.006006574151009,0.00566427396124921,0.00345876673414861,0.00204661072141057,0.00094251070451255,0.000936689613577426,0.00164583792117419,0.0019735097613391,0.00304287626926333,0.00424447996118731
2026-05-29,"A10",1,0.125,30,1,0.334438451318897,0.342862689170878,0.35138892593984,0.360071704982939,0.366716761635626,0.368886117694651,0.36403182498521,0.356729968890445,0.354442553134717,0.362,0.381428531921104,0.411911753326916,0.447405763810757,0.4840538836965,0.518289571087279,0.549612235075117,0.580686238807726,0.615405925761386,0.659007732739386,0.71444524438586,0.7830205417802,0.86642404692552,0.96483305130908,1.07749792032749,1.19781192588301,1.32359796995642,1.44572874908416,1.55665384240492,1.65536678027036,1.74063393898865,1.81360586327323,1.87590428673447,1.92708360612698,1.96610689148952,1.98699395159112,1.98741704730071,1.96551389873887,1.92131701449985,1.85751943771559,1.77211035515737,1.6669428203929,1.54300873641168,1.40380954292472,1.25648732684428,1.10461236679155,0.956477064398831,0.816666611572271,0.689945884630616,0.57333020863058,0.470257714013721,0.381021810525358,0.305138535645348,0.242417535296948,0.191779052454656,0.150923637049601,0.118174924993907,0.0918088335860419,0.071811033717156,0.0567036993550073,0.0454548293729574,0.0377904764633675,0.0305905423824266,0.0251191020250804,0.0201892148924206,0.016285395749161,0.0126863403167577,0.0106139962257792,0.00946509780078431,0.0082282795425666,0.00702448352146981,0.00581392587702465,0.00451115703161685,0.00396035069843338,0.00394766368889361,0.00506941249530389,0.00626194159099491,0.00757846470792893,0.00805741158257765,0.00798600972213748,0.00788313843752692,0.00691049172270251,0.00692588680759369,0.00779810435574145,0.00798904039548537,0.00700040041356101,0.00624351706549109,0.00423968830940887,0.0031466881617577,0.00198045998919425,0.00176527533589576,0.000786549094173238,0.0018209768497716,0.00197780735415747,0.00305101079074681,0.00331693295218359,0.00420281256314113,0.00311548963997324,0.00298379207054028,0.00179740030439839
