"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV8b7801b7","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","ananatis"
"ASVf6134ec0","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASV42361283","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","gladioli"
"ASV18960544","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium",NA
"ASV68542ec4","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","paucimobilis"
"ASVbfc1cb18","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV036d1605","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","psychrotolerans"
"ASVc1cf6525","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","vietnamiensis"
"ASVfdb9a9d2","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA
"ASV7581ccbe","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA
"ASV4420527a","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","pseudomallei"
"ASVafd461b5","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",NA
"ASV7147dc31","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","maltophilia"
"ASV6afbf6ca","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","maltophilia"
"ASV813b3e1b","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","enterica"
"ASV427ce498","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylorubrum","extorquens"
"ASVc6cbe84b","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"ASV80b82b3a","Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASVf7c06f38","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter",NA
"ASVffcb689d","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Alcaligenaceae",NA,NA
"ASV5a20c9c8","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASVdcc627a9","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylobacterium",NA
"ASV4451ec1b","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Dyella",NA
"ASV3b1d5b04","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASVe0cd7d0a","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASV881be12b","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","paucimobilis"
"ASVbd0ddf3e","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Xanthomonas","albilineans"
"ASV3a8c76d1","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA
"ASVc88caae2","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","testaceum"
"ASVc18a20e9","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASVc6337cb8","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kosakonia","sacchari"
"ASV341f35ee","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","seropedicae"
"ASVd72febfa","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","graminis"
"ASVebe5fa2a","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","melonis"
"ASVe9ad6f9a","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV544063c6","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","insecticola"
"ASV64975ee0","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASVe07d2ea6","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV02c5ff0c","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","ursingii"
"ASV4afd242e","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASVb1f3806d","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","psychrotolerans"
"ASV43ae2a4b","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Luteibacter","yeojuensis"
"ASVafdfedbb","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Sinomonas",NA
"ASVd92c7798","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Luteibacter","anthropi"
"ASV7056014a","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","putida"
"ASV3a5572da","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Neobacillus",NA
"ASV202c43fb","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","velezensis"
"ASV8cee0275","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","maltophilia"
"ASV56433791","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASV1f25af85","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Pseudoxanthomonas",NA
"ASV1b874bbf","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylobacterium","currus"
"ASV038f59b4","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASV723a382a","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","pittii"
"ASV57c82e07","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Luteibacter",NA
"ASVb76ea8e4","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","fabrum"
"ASVd3321805","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"ASVc9b9056b","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA,NA
"ASVa3d5d207","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA
"ASV101a21a4","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium",NA
"ASV7ed28d8f","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"ASV3d0e83b3","Bacteria",NA,NA,NA,NA,NA,NA
"ASV91b965f9","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas",NA
"ASVe3098f9e","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","pavanii"
"ASV5dae0aaa","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","rhizophila"
"ASVab2e6ffb","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASV3e981477","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","azotifigens"
"ASV7a184a5d","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Xanthomonas","translucens"
"ASV5af2b96d","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASVfcc6dbf3","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","phyllosphaerae"
"ASVbe4d3ec8","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA,NA
"ASV354e46bd","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","paucimobilis"
"ASV9364e5cf","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella",NA
"ASV42b06225","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Pandoraea","sputorum"
"ASVb67357c2","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","psychrotolerans"
"ASV95f9e857","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas",NA
"ASV24dec7ea","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","barcinonensis"
"ASV13acb9e5","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASV060b5988","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Xanthomonas","albilineans"
"ASVf666fb3e","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASVe75774bf","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","seropedicae"
"ASV494ad15e","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASV3492176b","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASV6586bd5b","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"ASVfae8c015","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Pandoraea",NA
"ASV27945922","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"ASV688c5d57","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASV9d16b1c9","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","maltophilia"
"ASVdc731b17","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","rubi"
"ASVdce1778a","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",NA
"ASV05445b82","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium",NA
"ASV92f96823","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","acnes"
"ASVe3838974","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylobacterium","radiotolerans"
"ASV66b24bba","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",NA
"ASV0799d21c","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","barcinonensis"
"ASV66693ec4",NA,NA,NA,NA,NA,NA,NA
"ASV15d3af44","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","huttiense"
"ASVaeec3949","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA
"ASV71f32430","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA
"ASVa7f07549","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"ASV0870c7b3","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA
"ASVdaf83539","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","cichorii"
"ASV5a1e89cc","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","indologenes"
"ASV44ad646d","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","maltophilia"
"ASVe5cc284e","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae",NA,NA
"ASVd13ccfab","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA
"ASV62c0b6b5","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","avenae"
"ASV2b8a7286","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA
"ASV1f330acf","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium","phaseoli"
"ASVe2226aae","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia","xyli"
"ASV4aafb85b","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","aureus"
"ASVbd33b993","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"ASVf10786b8","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","indologenes"
"ASVa61bea35","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylobacterium",NA
"ASVdb6991fc","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","arborescens"
"ASV339f1c39","Bacteria",NA,NA,NA,NA,NA,NA
"ASV4ef3d820","Bacteria",NA,NA,NA,NA,NA,NA
"ASVa38153ff","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","herbicidovorans"
"ASV7d353f34","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","barcinonensis"
"ASVe3cfa153",NA,NA,NA,NA,NA,NA,NA
"ASV4b5f5efd","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","camelliae"
"ASVeb17124f","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASVec4dc433","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA
"ASV21311029","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV81d61caa","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA
"ASVc17dc13c","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","phyllosphaerae"
"ASV896d673c","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",NA
"ASV8255a7d7","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASVcbe9a5c9","Bacteria","Actinomycetota","Actinobacteria","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"ASV61192ab7","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia",NA
"ASVa950586e","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylobacterium","aquaticum"
"ASVbbc427eb","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","cellulasensis"
"ASV9066ceae","Bacteria",NA,NA,NA,NA,NA,NA
"ASV3302701c","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Rhodanobacter",NA
"ASV419217e5","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASV9a218ae4","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium",NA
"ASVd61d07c9","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",NA
"ASV37b58c6d","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae",NA,NA
"ASV67add20b","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASVaf5ed598","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA
"ASV7d9db5b6","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASVc0f64494","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Priestia",NA
"ASVbe6df1ba","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","barcinonensis"
"ASV48eb0750","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Luteimonas",NA
"ASVf6665322","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASVad4e58b4","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter",NA
"ASVa89fc04e","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASV7504d265","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASV032ea612","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter",NA
"ASVdbef21ef","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASV7bb84d2a","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila"
"ASVe7c21954","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae",NA,NA
"ASVef238231","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas",NA
"ASVea841d93","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","silvatlantica"
"ASV74f685a1","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","firmus"
"ASV2ff53803",NA,NA,NA,NA,NA,NA,NA
"ASV94b11d40","Bacteria",NA,NA,NA,NA,NA,NA
"ASVd290d2f7","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASV3dadbd8d","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","dispersa"
"ASV5ba7a61f",NA,NA,NA,NA,NA,NA,NA
"ASV03a4e907","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASVfdd6a1bd","Bacteria",NA,NA,NA,NA,NA,NA
"ASV050933b6","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus","yeei"
"ASVf0cd9dc5","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Brucella","melitensis"
"ASV416232d9","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","putida"
"ASV2c041c52","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","stewartii"
"ASVc455efbc","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASVa584722d","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Opitutaceae","Opitutus",NA
"ASVa7eb5e0e","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Lawsonella","clevelandensis"
"ASV1e82cd7f","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae",NA,NA
"ASV7229f657","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium",NA
"ASV174c2618","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","paucimobilis"
"ASV6d594b96","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Xylophilus",NA
"ASVbbaa4e56","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA
"ASVb305d8d6","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","CPla-3 termite group",NA,NA
"ASVcc2638c1",NA,NA,NA,NA,NA,NA,NA
"ASVf3d9b9ea","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","pseudolongum"
"ASV57d44ffc","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASVf58e5bd6","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV2bde0874","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae",NA,NA
"ASVe2d71f5c","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","dysgalactiae"
"ASV0183f103","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","gallinarum"
"ASV6d61eaa8","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum",NA
"ASV636a1a7b","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASVd60b1165","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","coli"
"ASV40cefc8d","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASV4226a66b",NA,NA,NA,NA,NA,NA,NA
"ASV6545dcca","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASV0af00dec","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASVb62581c6","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","citronellolis"
"ASV86c4dab9","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Luteimonas",NA
"ASV42e28754","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae"
"ASV2cbdf596","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium","tuberculostearicum"
"ASVa8f05903","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylobacterium","komagatae"
"ASV017b8814","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Rhodanobacter",NA
"ASVc6af847e","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASVe9a702f8","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","barcinonensis"
"ASV53ed7968","Bacteria","Actinomycetota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia",NA
"ASVc23653c9","Bacteria","Bacillota","Bacilli","Bacillales",NA,NA,NA
"ASVb033dffc","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"ASV7e477a21","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"ASVcbc44e8f","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Dubosiella",NA
"ASV083153e5","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium",NA
"ASV88d501f1","Bacteria","Pseudomonadota","Alphaproteobacteria","Micropepsales","Micropepsaceae",NA,NA
"ASVd10dcb92","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASV08d447f8","Bacteria",NA,NA,NA,NA,NA,NA
"ASV792ad352","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus"
"ASVf6c2e87f","Bacteria",NA,NA,NA,NA,NA,NA
"ASV39cee417","Bacteria",NA,NA,NA,NA,NA,NA
"ASVaa874fca","Bacteria",NA,NA,NA,NA,NA,NA
"ASV15bea588","Bacteria",NA,NA,NA,NA,NA,NA
"ASVcc2e78a8","Bacteria",NA,NA,NA,NA,NA,NA
"ASV08a42a81","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","psychrotolerans"
"ASV22a0265c","Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV687c6bf4",NA,NA,NA,NA,NA,NA,NA
"ASV42b1d596","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum",NA
"ASVce62c15a","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"ASVa83955f9","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","barcinonensis"
"ASVc50c85ab","Bacteria",NA,NA,NA,NA,NA,NA
"ASV55fe6868","Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Lysinibacillus","xylanilyticus"
"ASV8acd2d87","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","hunanensis"
"ASVed389f26","Bacteria",NA,NA,NA,NA,NA,NA
"ASVc9fae288","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","johnsonii"
"ASV498e3954","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii"
"ASV6c128c77","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","psychrotolerans"
"ASVf3a1a82e","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia",NA
"ASV55d30092","Bacteria","Actinomycetota","Actinobacteria","Kitasatosporales","Streptomycetaceae",NA,NA
