"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV0435fdcb","Bacteria",NA,NA,NA,NA,NA,NA
"ASV4d415498","Bacteria",NA,NA,NA,NA,NA,NA
"ASVff69756c","Bacteria",NA,NA,NA,NA,NA,NA
"ASV93073cd8","Bacteria",NA,NA,NA,NA,NA,NA
"ASV8a798a9c","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylobacterium","komagatae"
"ASV30afb208",NA,NA,NA,NA,NA,NA,NA
"ASV36303283","Bacteria",NA,NA,NA,NA,NA,NA
"ASV88e0f548","Bacteria",NA,NA,NA,NA,NA,NA
"ASV66cf83dd",NA,NA,NA,NA,NA,NA,NA
"ASVb4388455","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium",NA
"ASV9358a78a","Bacteria",NA,NA,NA,NA,NA,NA
"ASV0f9effba","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV6e4d0541","Bacteria",NA,NA,NA,NA,NA,NA
"ASV4df8a7f6","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA
"ASVc3ff21e1","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASVfb971dbb","Bacteria",NA,NA,NA,NA,NA,NA
"ASV26353c94","Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV12465aa3","Bacteria","Myxococcota","Polyangiia","Polyangiales","BIrii41",NA,NA
"ASV09933e90","Bacteria","Gemmatimonadota","Gemmatimonadia","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"ASVee139724","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",NA
"ASVf61c9ebd","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","FTLpost3",NA,NA
"ASVe4afdd8b","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae",NA,NA
"ASV1916339f","Bacteria","Bacillota","Limnochordia","Limnochordales","Limnochordaceae",NA,NA
"ASV0175b506","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Gallibacterium",NA
"ASV66e60444","Bacteria","Pseudomonadota","Alphaproteobacteria","Micropepsales","Micropepsaceae",NA,NA
"ASV02a5e6a1","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Piscinibacter",NA
"ASV5c756783","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA,NA
"ASV74c88157",NA,NA,NA,NA,NA,NA,NA
"ASVb3c1d88c","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus"
"ASV62b0de50","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA,NA
"ASV4707a24a","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rubellimicrobium",NA
"ASVaedc92a7","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASVde45e88f",NA,NA,NA,NA,NA,NA,NA
"ASV94de3cbc","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Opitutaceae","Opitutus",NA
"ASVfb6e837c",NA,NA,NA,NA,NA,NA,NA
"ASV2af80ab8","Bacteria","Bacillota","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus",NA
"ASV2801c469","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Simplicispira",NA
"ASV9511fc69","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis",NA
"ASV4eabf9ee","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","aromaticivorans"
"ASV00bc1542","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Pedosphaerales","Pedosphaeraceae",NA,NA
"ASV4fdaa06a","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA
"ASVe7ffe57c","Archaea","Thermoproteota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrosocosmicus",NA
"ASV1397c37a","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Pedomicrobium",NA
"ASV9fa0f964","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASVbd79a7ec","Bacteria","Chloroflexota","Chloroflexia","Thermomicrobiales","Thermomicrobiaceae","Sphaerobacter","thermophilus"
"ASVa48d8eb6",NA,NA,NA,NA,NA,NA,NA
"ASVed5c1ff3","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae",NA,NA
"ASV034372d5","Bacteria","Actinomycetota","Actinobacteria","Kitasatosporales","Streptomycetaceae","Streptomyces","thermocarboxydus"
"ASV560f539d","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Lederbergia",NA
"ASVef928caa","Bacteria","Chloroflexota","Chloroflexia","Thermomicrobiales","Thermomicrobiaceae","Sphaerobacter",NA
"ASVafee1c8b","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Bradyrhizobium",NA
"ASVc05cf337","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter",NA
"ASV4638b907","Bacteria",NA,NA,NA,NA,NA,NA
"ASVc94b6240","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae",NA,NA
"ASVca55bfde","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA
"ASV16712fdb","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV90aeff91","Bacteria",NA,NA,NA,NA,NA,NA
"ASV2d2282f8","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Pseudolabrys",NA
"ASVa1eceb62","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidiferrimicrobium",NA
"ASV55df15ec",NA,NA,NA,NA,NA,NA,NA
"ASV9d58c490",NA,NA,NA,NA,NA,NA,NA
"ASVb605e338","Bacteria",NA,NA,NA,NA,NA,NA
"ASV501ebdbd","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Halomonas",NA
"ASVf4832834","Bacteria",NA,NA,NA,NA,NA,NA
"ASV7b7e3105","Bacteria",NA,NA,NA,NA,NA,NA
"ASV201917c0","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV3878439d",NA,NA,NA,NA,NA,NA,NA
"ASV4494fb4a",NA,NA,NA,NA,NA,NA,NA
"ASV2d3d92cf","Bacteria",NA,NA,NA,NA,NA,NA
"ASVebecbe9f","Bacteria",NA,NA,NA,NA,NA,NA
"ASV402bd907","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Aliicoccus",NA
"ASVba3d00b2",NA,NA,NA,NA,NA,NA,NA
"ASVee6302b4","Bacteria",NA,NA,NA,NA,NA,NA
"ASV332706b8","Bacteria",NA,NA,NA,NA,NA,NA
"ASV5398315f",NA,NA,NA,NA,NA,NA,NA
"ASVb60cfccb","Bacteria",NA,NA,NA,NA,NA,NA
"ASVe87a2597","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium","tuberculostearicum"
